Species,Mean Group,Value
Lactobacillaceae,MEAN Male WT ,0.128118756
Lactobacillaceae,MEAN Female WT,0.447783683
Lactobacillaceae,MEAN Male KO,0.090546284
Lactobacillaceae,MEAN Female KO,0.555048163
Actinobacteria phylum,MEAN Male WT ,0.432698533
Actinobacteria phylum,MEAN Female WT,0.219777558
Actinobacteria phylum,MEAN Male KO,0.197720286
Actinobacteria phylum,MEAN Female KO,0.322056542
Actinobacteria class,MEAN Male WT ,0.432698533
Actinobacteria class,MEAN Female WT,0.219777558
Actinobacteria class,MEAN Male KO,0.197720286
Actinobacteria class,MEAN Female KO,0.322056542
Lactobacillus,MEAN Male WT ,0.125812419
Lactobacillus,MEAN Female WT,0.439167808
Lactobacillus,MEAN Male KO,0.087912283
Lactobacillus,MEAN Female KO,0.542350725
Clostridiaceae,MEAN Male WT ,0.612427871
Clostridiaceae,MEAN Female WT,0.040369769
Clostridiaceae,MEAN Male KO,0.127308232
Clostridiaceae,MEAN Female KO,0.057415232
Coriobacteriales,MEAN Male WT ,0.08561223
Coriobacteriales,MEAN Female WT,0.164512049
Coriobacteriales,MEAN Male KO,0.185407417
Coriobacteriales,MEAN Female KO,0.221967229
Coriobacteridae,MEAN Male WT ,0.08561223
Coriobacteridae,MEAN Female WT,0.164512049
Coriobacteridae,MEAN Male KO,0.185407417
Coriobacteridae,MEAN Female KO,0.221967229
Gammaproteobacteria,MEAN Male WT ,0.024680201
Gammaproteobacteria,MEAN Female WT,0.068765446
Gammaproteobacteria,MEAN Male KO,0.031730504
Gammaproteobacteria,MEAN Female KO,0.592818451
Desulfovibrionales,MEAN Male WT ,0.003442379
Desulfovibrionales,MEAN Female WT,0.002747141
Desulfovibrionales,MEAN Male KO,0.513614264
Desulfovibrionales,MEAN Female KO,0.01078532
Betaproteobacteria,MEAN Male WT ,0.166974121
Betaproteobacteria,MEAN Female WT,0.11335167
Betaproteobacteria,MEAN Male KO,0.110087407
Betaproteobacteria,MEAN Female KO,0.080983418
Actinobacteridae,MEAN Male WT ,0.330173222
Actinobacteridae,MEAN Female WT,0.042342179
Actinobacteridae,MEAN Male KO,0.007809163
Actinobacteridae,MEAN Female KO,0.087279213
Bifidobacteriaceae,MEAN Male WT ,0.328858869
Bifidobacteriaceae,MEAN Female WT,0.040556786
Bifidobacteriaceae,MEAN Male KO,0.005900219
Bifidobacteriaceae,MEAN Female KO,0.075165527
Bifidobacteriales,MEAN Male WT ,0.328858869
Bifidobacteriales,MEAN Female WT,0.040556786
Bifidobacteriales,MEAN Male KO,0.005900219
Bifidobacteriales,MEAN Female KO,0.075165527
Bifidobacterium,MEAN Male WT ,0.328858869
Bifidobacterium,MEAN Female WT,0.040556786
Bifidobacterium,MEAN Male KO,0.005761009
Bifidobacterium,MEAN Female KO,0.075165527
Desulfovibrionaceae,MEAN Male WT ,0.003442379
Desulfovibrionaceae,MEAN Female WT,0.002637159
Desulfovibrionaceae,MEAN Male KO,0.331503322
Desulfovibrionaceae,MEAN Female KO,0.01078532
Porphyromonadaceae,MEAN Male WT ,0.131408414
Porphyromonadaceae,MEAN Female WT,0.040901373
Porphyromonadaceae,MEAN Male KO,0.080807634
Porphyromonadaceae,MEAN Female KO,0.105892991
Deferribacteres,MEAN Male WT ,0.106478402
Deferribacteres,MEAN Female WT,0.021968349
Deferribacteres,MEAN Male KO,0.115386481
Deferribacteres,MEAN Female KO,0.054105764
Deferribacteres,MEAN Male WT ,0.106478402
Deferribacteres,MEAN Female WT,0.021968349
Deferribacteres,MEAN Male KO,0.115386481
Deferribacteres,MEAN Female KO,0.054105764
Alphaproteobacteria,MEAN Male WT ,0.131194374
Alphaproteobacteria,MEAN Female WT,0.029835112
Alphaproteobacteria,MEAN Male KO,0.092337031
Alphaproteobacteria,MEAN Female KO,0.032521812
Clostridium,MEAN Male WT ,0.092255857
Clostridium,MEAN Female WT,0.026685697
Clostridium,MEAN Male KO,0.090054824
Clostridium,MEAN Female KO,0.046849732
Parabacteroides,MEAN Male WT ,0.10865874
Parabacteroides,MEAN Female WT,0.023269043
Parabacteroides,MEAN Male KO,0.055920234
Parabacteroides,MEAN Female KO,0.075872986
Coriobacteriaceae,MEAN Male WT ,0.025397943
Coriobacteriaceae,MEAN Female WT,0.079283718
Coriobacteriaceae,MEAN Male KO,0.064491839
Coriobacteriaceae,MEAN Female KO,0.072459706
Coriobacterineae,MEAN Male WT ,0.025397943
Coriobacterineae,MEAN Female WT,0.079283718
Coriobacterineae,MEAN Male KO,0.064491839
Coriobacterineae,MEAN Female KO,0.072459706
